"Accident_Index","Accident_Severity","Date","Day_of_Week","Light_Conditions","Number_of_Casualties","Number_of_Vehicles","Pedestrian_Crossing_Human_Control","Pedestrian_Crossing_Physical_Facilities","Police_Force","Road_Surface_Conditions","Road_Type","Special_Conditions_at_Site","Speed_limit","Time","Urban_or_Rural_Area","Weather_Conditions","Year"
"200501CP00001","Slight","2005-01-01","Saturday","Darkness - lights lit","1","2","0","5","City of London","Dry","Single carriageway","None","30","22:50:00","Urban","Fine no high winds","2005"
"200501CP00002","Slight","2005-01-02","Sunday","Darkness - lights lit","1","2","0","0","City of London","Dry","Single carriageway","None","30","20:50:00","Urban","Fine no high winds","2005"
"200501CP00003","Slight","2005-01-02","Sunday","Daylight","1","3","0","5","City of London","Dry","Single carriageway","None","30","10:02:00","Urban","Fine no high winds","2005"
"200501CP00004","Slight","2005-01-08","Saturday","Darkness - lights lit","3","2","0","5","City of London","Wet or damp","One way street","None","30","02:45:00","Urban","Raining no high winds","2005"
"200501CP00005","Slight","2005-01-04","Tuesday","Daylight","1","1","0","5","City of London","Dry","Dual carriageway","None","30","12:30:00","Urban","Fine no high winds","2005"
"200501CP00006","Serious","2005-01-07","Friday","Darkness - lights lit","1","2","0","5","City of London","Dry","Roundabout","None","30","18:05:00","Urban","Fine no high winds","2005"
"200501CP00008","Serious","2005-01-10","Monday","Daylight","1","2","0","0","City of London","Dry","Single carriageway","None","30","10:00:00","Urban","Fine no high winds","2005"
"200501CP00009","Serious","2005-01-10","Monday","Daylight","1","2","0","4","City of London","Wet or damp","One way street","None","30","15:00:00","Urban","Raining no high winds","2005"
"200501CP00010","Serious","2005-01-11","Tuesday","Daylight","1","1","0","5","City of London","Wet or damp","Single carriageway","None","30","11:59:00","Urban","Raining no high winds","2005"
"200501CP00011","Slight","2005-01-18","Tuesday","Darkness - lights lit","1","3","0","0","City of London","Wet or damp","Single carriageway","None","20","02:45:00","Urban","Raining no high winds","2005"
"200501CP00012","Slight","2005-01-14","Friday","Daylight","1","1","0","4","City of London","Dry","Single carriageway","None","30","14:22:00","Urban","Fine no high winds","2005"
"200501CP00013","Slight","2005-01-15","Saturday","Daylight","1","1","0","0","City of London","Dry","Single carriageway","None","30","12:25:00","Urban","Fine no high winds","2005"
"200501CP00014","Slight","2005-01-19","Wednesday","Daylight","1","2","0","5","City of London","Dry","Single carriageway","None","30","07:30:00","Urban","Fine no high winds","2005"
"200501CP00015","Slight","2005-01-22","Saturday","Darkness - lights lit","1","2","0","0","City of London","Dry","Dual carriageway","None","30","00:30:00","Urban","Fine no high winds","2005"
"200501CP00016","Slight","2005-01-23","Sunday","Daylight","1","2","0","1","City of London","Dry","Single carriageway","None","30","14:35:00","Urban","Fine no high winds","2005"
"200501CP00017","Serious","2005-01-28","Friday","Darkness - lights lit","1","1","0","4","City of London","Wet or damp","Single carriageway","None","30","17:45:00","Urban","Raining no high winds","2005"
"200501CP00018","Serious","2005-02-01","Tuesday","Darkness - lights lit","1","1","0","5","City of London","Dry","Dual carriageway","None","30","22:30:00","Urban","Fine no high winds","2005"
"200501CP00019","Slight","2005-02-07","Monday","Daylight","1","2","0","5","City of London","Dry","Roundabout","None","30","15:30:00","Urban","Fine no high winds","2005"
"200501CP00020","Slight","2005-02-03","Thursday","Darkness - lights lit","1","1","0","4","City of London","Dry","Single carriageway","None","30","04:52:00","Urban","Fine no high winds","2005"
"200501CP00021","Slight","2005-01-20","Thursday","Darkness - lights lit","1","2","0","4","City of London","Wet or damp","Dual carriageway","None","30","23:20:00","Urban","Raining no high winds","2005"
"200501CP00022","Slight","2005-02-17","Thursday","Daylight","1","1","0","0","City of London","Wet or damp","Dual carriageway","Road surface defective","30","16:00:00","Urban","Raining no high winds","2005"
"200501CP00023","Slight","2005-02-10","Thursday","Darkness - lights lit","1","1","0","5","City of London","Wet or damp","Single carriageway","None","30","18:50:00","Urban","Raining no high winds","2005"
"200501CP00024","Slight","2005-02-15","Tuesday","Daylight","1","1","0","5","City of London","Dry","Single carriageway","None","30","08:25:00","Urban","Fine no high winds","2005"
"200501CP00025","Slight","2005-02-05","Saturday","Daylight","1","2","0","4","City of London","Dry","One way street","None","30","16:20:00","Urban","Fine no high winds","2005"
"200501CP00026","Slight","2005-02-18","Friday","Darkness - lights lit","1","1","0","5","City of London","Dry","Single carriageway","None","30","21:00:00","Urban","Fine no high winds","2005"
"200501CP00027","Slight","2005-02-23","Wednesday","Daylight","1","2","0","5","City of London","Dry","Single carriageway","None","30","13:05:00","Urban","Fine no high winds","2005"
"200501CP00028","Slight","2005-02-02","Wednesday","Daylight","1","1","0","5","City of London","Dry","Dual carriageway","None","30","08:30:00","Urban","Fine no high winds","2005"
"200501CP00029","Slight","2005-02-17","Thursday","Daylight","1","1","0","5","City of London","Dry","Single carriageway","None","30","16:00:00","Urban","Fine no high winds","2005"
"200501CP00030","Slight","2005-02-02","Wednesday","Daylight","1","2","0","0","City of London","Dry","Single carriageway","None","30","09:20:00","Urban","Fine no high winds","2005"
"200501CP00031","Slight","2005-02-25","Friday","Daylight","1","2","0","0","City of London","Wet or damp","Dual carriageway","None","30","11:15:00","Urban","Snowing no high winds","2005"
"200501CP00032","Slight","2005-02-15","Tuesday","Daylight","1","2","0","0","City of London","Dry","Single carriageway","None","30","19:05:00","Urban","Fine no high winds","2005"
"200501CP00033","Serious","2005-02-28","Monday","Daylight","1","1","0","0","City of London","Dry","One way street","None","30","07:25:00","Urban","Fine no high winds","2005"
"200501CP00034","Slight","2005-02-23","Wednesday","Daylight","1","2","0","0","City of London","Dry","Single carriageway","None","30","11:40:00","Urban","Fine no high winds","2005"
"200501CP00035","Slight","2005-02-06","Sunday","Daylight","1","2","0","4","City of London","Dry","Dual carriageway","None","30","15:10:00","Urban","Fine no high winds","2005"
"200501CP00036","Serious","2005-03-03","Thursday","Daylight","1","2","0","4","City of London","Wet or damp","One way street","None","30","13:31:00","Urban","Fine no high winds","2005"
"200501CP00037","Slight","2005-03-05","Saturday","Daylight","1","2","0","5","City of London","Dry","Single carriageway","None","30","13:00:00","Urban","Fine no high winds","2005"
