Column,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Age_Band_of_Driver,Sex_of_Driver,Driver_age_sex,Vehicle_Type
2,2016010000028,Slight,2016-11-01,Tuesday,Daylight,1,0,0,Metropolitan Police,Dry,One way street,None,30,10:50:00,Urban,Raining no high winds,36 - 45,Female,36 - 45_Female,9
3,2016010000033,Serious,2016-11-01,Tuesday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,08:30:00,Urban,Fog or mist,26 - 35,Female,26 - 35_Female,9
5,2016010000048,Serious,2016-11-01,Tuesday,Daylight,1,0,4,Metropolitan Police,Dry,Single carriageway,None,30,07:10:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
8,2016010000061,Slight,2016-11-01,Tuesday,Darkness - lights lit,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,16:45:00,Urban,Fine no high winds,46 - 55,Female,46 - 55_Female,9
9,2016010000066,Slight,2016-11-01,Tuesday,Darkness - lights lit,1,0,8,Metropolitan Police,Dry,Single carriageway,None,30,18:10:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
10,2016010000099,Slight,2016-11-01,Tuesday,Darkness - lights lit,1,0,1,Metropolitan Police,Dry,Single carriageway,None,30,20:50:00,Urban,Fine no high winds,66 - 75,Male,66 - 75_Male,9
11,2016010000100,Serious,2016-11-01,Tuesday,Daylight,1,0,8,Metropolitan Police,Dry,Single carriageway,None,30,14:55:00,Urban,Fine no high winds,36 - 45,Female,36 - 45_Female,9
14,2016010000122,Slight,2016-11-02,Wednesday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,09:10:00,Urban,Fine no high winds,66 - 75,Male,66 - 75_Male,9
15,2016010000124,Slight,2016-11-02,Wednesday,Daylight,1,0,5,Metropolitan Police,Dry,One way street,None,30,08:40:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
16,2016010000130,Slight,2016-11-02,Wednesday,Daylight,1,0,1,Metropolitan Police,Dry,Single carriageway,None,30,09:15:00,Urban,Fine no high winds,16 - 20,Female,16 - 20_Female,9
18,2016010000176,Slight,2016-11-02,Wednesday,Daylight,1,0,5,Metropolitan Police,Dry,Single carriageway,None,30,15:45:00,Urban,Fine no high winds,36 - 45,Female,36 - 45_Female,9
20,2016010000196,Slight,2016-11-02,Wednesday,Darkness - lights lit,1,0,0,Metropolitan Police,Dry,Dual carriageway,None,30,21:00:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
23,2016010000224,Slight,2016-11-02,Wednesday,Darkness - lights lit,1,0,0,Metropolitan Police,Dry,Dual carriageway,None,40,19:28:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
24,2016010000237,Slight,2016-11-03,Thursday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,08:13:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
26,2016010000253,Slight,2016-11-03,Thursday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,20,12:05:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
31,2016010000308,Slight,2016-11-03,Thursday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,15:16:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
35,2016010000377,Slight,2016-11-04,Friday,Darkness - lights lit,1,0,0,Metropolitan Police,Wet or damp,Single carriageway,None,30,16:25:00,Urban,Raining no high winds,66 - 75,Male,66 - 75_Male,9
36,2016010000378,Slight,2016-11-04,Friday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,15:25:00,Urban,Fine no high winds,21 - 25,Female,21 - 25_Female,9
37,2016010000388,Serious,2016-11-04,Friday,Daylight,1,0,0,Metropolitan Police,Wet or damp,Single carriageway,None,30,14:17:00,Urban,Raining no high winds,21 - 25,Female,21 - 25_Female,9
38,2016010000390,Slight,2016-11-04,Friday,Daylight,1,0,0,Metropolitan Police,Wet or damp,Single carriageway,None,30,16:02:00,Urban,Raining no high winds,26 - 35,Female,26 - 35_Female,9
41,2016010000416,Serious,2016-11-04,Friday,Daylight,1,0,5,Metropolitan Police,Dry,One way street,None,30,18:01:00,Urban,Fine no high winds,36 - 45,Female,36 - 45_Female,9
42,2016010000429,Serious,2016-11-04,Friday,Darkness - lights lit,1,0,4,Metropolitan Police,Wet or damp,Single carriageway,None,30,20:28:00,Urban,Fine no high winds,66 - 75,Male,66 - 75_Male,9
43,2016010000437,Slight,2016-11-04,Friday,Darkness - lights lit,1,0,0,Metropolitan Police,Wet or damp,Single carriageway,None,50,23:40:00,Rural,Fog or mist,26 - 35,Male,26 - 35_Male,9
44,2016010000449,Slight,2016-11-05,Saturday,Darkness - lights lit,1,2,5,Metropolitan Police,Dry,Dual carriageway,None,30,02:45:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
45,2016010000456,Slight,2016-11-05,Saturday,Daylight,1,0,5,Metropolitan Police,Dry,Dual carriageway,None,40,09:55:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
46,2016010000459,Serious,2016-11-05,Saturday,Daylight,2,0,0,Metropolitan Police,Dry,Single carriageway,None,30,11:25:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
47,2016010000472,Slight,2016-11-05,Saturday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,11:50:00,Urban,Fine no high winds,46 - 55,Female,46 - 55_Female,9
50,2016010000499,Slight,2016-11-05,Saturday,Daylight,1,0,8,Metropolitan Police,Dry,Single carriageway,None,30,14:50:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
51,2016010000501,Slight,2016-11-05,Saturday,Daylight,1,0,8,Metropolitan Police,Dry,Single carriageway,None,30,15:01:00,Urban,Fine no high winds,21 - 25,Female,21 - 25_Female,9
52,2016010000507,Slight,2016-11-05,Saturday,Darkness - lights lit,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,19:47:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
53,2016010000515,Slight,2016-11-05,Saturday,Darkness - lights lit,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,21:39:00,Urban,Fine no high winds,36 - 45,Female,36 - 45_Female,9
54,2016010000516,Slight,2016-11-05,Saturday,Darkness - lights lit,1,0,8,Metropolitan Police,Dry,Single carriageway,None,30,20:00:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
55,2016010000529,Slight,2016-11-05,Saturday,Darkness - lights lit,1,0,1,Metropolitan Police,Wet or damp,Single carriageway,None,30,22:50:00,Urban,Fine no high winds,66 - 75,Female,66 - 75_Female,9
56,2016010000541,Slight,2016-11-05,Saturday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,12:55:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
57,2016010000551,Slight,2016-11-06,Sunday,Daylight,1,0,1,Metropolitan Police,Dry,Single carriageway,None,30,09:34:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
59,2016010000557,Slight,2016-11-06,Sunday,Daylight,1,0,1,Metropolitan Police,Dry,Single carriageway,None,30,10:50:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
