Column,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Age_Band_of_Driver,Sex_of_Driver,Driver_age_sex,Vehicle_Type
43,2016010000437,Slight,2016-11-04,Friday,Darkness - lights lit,1,0,0,Metropolitan Police,Wet or damp,Single carriageway,None,50,23:40:00,Rural,Fog or mist,26 - 35,Male,26 - 35_Male,9
213,2016010001851,Slight,2016-11-16,Wednesday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,08:30:00,Rural,Fine no high winds,26 - 35,Female,26 - 35_Female,9
334,2016010003034,Slight,2016-11-23,Wednesday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,20,14:52:00,Rural,Fine no high winds,21 - 25,Male,21 - 25_Male,9
391,2016010003573,Slight,2016-11-26,Saturday,Darkness - lights lit,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,19:10:00,Rural,Fine no high winds,36 - 45,Male,36 - 45_Male,9
428,2016010003957,Slight,2016-11-29,Tuesday,Daylight,1,0,0,Metropolitan Police,Dry,Roundabout,None,30,11:05:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
1014,2016010021719,Slight,2016-09-28,Wednesday,Daylight,1,0,4,Metropolitan Police,Dry,Dual carriageway,None,40,15:30:00,Rural,Fine no high winds,26 - 35,Female,26 - 35_Female,9
1246,2016010028274,Fatal,2016-10-26,Wednesday,Darkness - lights lit,1,0,0,Metropolitan Police,Dry,Dual carriageway,None,70,07:14:00,Rural,Fine no high winds,36 - 45,Male,36 - 45_Male,9
1281,2016010029414,Serious,2016-10-28,Friday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,40,08:25:00,Rural,Fine no high winds,36 - 45,Male,36 - 45_Male,9
1326,2016010031469,Slight,2016-10-24,Monday,Darkness - no lighting,1,0,0,Metropolitan Police,Dry,Single carriageway,None,60,07:00:00,Rural,Fine no high winds,66 - 75,Male,66 - 75_Male,9
2753,201601SX20589,Slight,2016-06-16,Thursday,Daylight,1,0,4,Metropolitan Police,Dry,Single carriageway,None,30,15:59:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
2905,201601VK30144,Slight,2016-06-17,Friday,Daylight,1,0,0,Metropolitan Police,Dry,Single carriageway,None,30,10:08:00,Rural,Fine no high winds,21 - 25,Male,21 - 25_Male,9
3332,201601ZD30005,Slight,2016-01-12,Tuesday,Daylight,1,0,0,Metropolitan Police,Wet or damp,Single carriageway,None,30,08:05:00,Rural,Fine no high winds,36 - 45,Male,36 - 45_Male,9
3417,201601ZD30711,Slight,2016-07-26,Tuesday,Daylight,1,0,8,Metropolitan Police,Dry,Single carriageway,None,30,16:15:00,Rural,Fine no high winds,26 - 35,Female,26 - 35_Female,9
3454,2016030045906,Slight,2016-01-03,Sunday,Daylight,1,0,4,Cumbria,Wet or damp,One way street,None,30,11:30:00,Rural,Raining no high winds,66 - 75,Male,66 - 75_Male,9
3461,2016030047108,Serious,2016-02-12,Friday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,30,14:24:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
3462,2016030047535,Serious,2016-01-11,Monday,Daylight,1,0,8,Cumbria,Wet or damp,Single carriageway,None,60,07:38:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
3463,2016030047577,Slight,2016-01-12,Tuesday,Darkness - lights lit,1,0,1,Cumbria,Wet or damp,Single carriageway,None,30,18:00:00,Rural,Raining no high winds,21 - 25,Male,21 - 25_Male,9
3465,2016030047933,Slight,2016-01-16,Saturday,Darkness - lights lit,1,0,0,Cumbria,Snow,Single carriageway,None,30,21:31:00,Rural,Snowing no high winds,16 - 20,Male,16 - 20_Male,9
3470,2016030048886,Serious,2016-01-30,Saturday,Darkness - no lighting,1,0,0,Cumbria,Dry,Single carriageway,None,60,18:50:00,Rural,Fine + high winds,56 - 65,Male,56 - 65_Male,9
3473,2016030049683,Serious,2016-02-20,Saturday,Darkness - lights lit,1,0,0,Cumbria,Wet or damp,Single carriageway,None,30,19:50:00,Rural,Fine no high winds,16 - 20,Female,16 - 20_Female,9
3476,2016030050124,Serious,2016-03-03,Thursday,Daylight,1,0,0,Cumbria,Wet or damp,Single carriageway,None,30,07:21:00,Rural,Fine no high winds,66 - 75,Female,66 - 75_Female,9
3483,2016030053650,Slight,2016-03-23,Wednesday,Daylight,1,0,4,Cumbria,Dry,One way street,None,30,13:32:00,Rural,Fine no high winds,56 - 65,Male,56 - 65_Male,9
3498,2016030065284,Slight,2016-05-01,Sunday,Daylight,1,0,0,Cumbria,Wet or damp,Single carriageway,None,60,09:00:00,Rural,Raining no high winds,46 - 55,Male,46 - 55_Male,9
3499,2016030065483,Slight,2016-05-01,Sunday,Darkness - no lighting,1,0,0,Cumbria,Wet or damp,Single carriageway,None,60,11:45:00,Rural,Raining no high winds,Over 75,Male,Over 75_Male,9
3500,2016030065904,Slight,2016-04-29,Friday,Daylight,1,0,0,Cumbria,Wet or damp,Single carriageway,None,30,08:45:00,Rural,Raining no high winds,26 - 35,Male,26 - 35_Male,9
3504,2016030068454,Slight,2016-05-14,Saturday,Daylight,1,0,1,Cumbria,Dry,Single carriageway,None,20,18:08:00,Rural,Fine no high winds,16 - 20,Female,16 - 20_Female,9
3509,2016030072136,Slight,2016-05-31,Tuesday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,60,11:59:00,Rural,Fine no high winds,21 - 25,Male,21 - 25_Male,9
3510,2016030073091,Slight,2016-06-01,Wednesday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,30,16:01:00,Rural,Fine no high winds,Over 75,Male,Over 75_Male,9
3512,2016030078283,Slight,2016-06-11,Saturday,Daylight,1,0,1,Cumbria,Wet or damp,One way street,None,30,22:08:00,Rural,Raining no high winds,26 - 35,Male,26 - 35_Male,9
3524,2016030090094,Slight,2016-07-25,Monday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,30,11:50:00,Rural,Fine no high winds,Over 75,Male,Over 75_Male,9
3525,2016030091617,Slight,2016-07-26,Tuesday,Daylight,1,0,0,Cumbria,Wet or damp,Single carriageway,None,60,19:15:00,Rural,Raining no high winds,36 - 45,Female,36 - 45_Female,9
3527,2016030095312,Serious,2016-08-05,Friday,Daylight,1,0,1,Cumbria,Dry,Single carriageway,None,30,17:05:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
3530,2016030097959,Serious,2016-08-14,Sunday,Daylight,1,0,1,Cumbria,Dry,Single carriageway,None,30,18:30:00,Rural,Fine no high winds,46 - 55,Female,46 - 55_Female,9
3532,2016030099498,Serious,2016-08-23,Tuesday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,30,16:10:00,Rural,Fine no high winds,36 - 45,Male,36 - 45_Male,9
3536,2016030107895,Slight,2016-09-17,Saturday,Darkness - lights lit,1,0,0,Cumbria,Dry,One way street,None,30,20:05:00,Rural,Fine no high winds,26 - 35,Male,26 - 35_Male,9
3537,2016030108271,Serious,2016-09-20,Tuesday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,60,15:54:00,Rural,Fine no high winds,21 - 25,Female,21 - 25_Female,9
3545,2016030116494,Slight,2016-08-18,Thursday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,30,14:00:00,Rural,Fine no high winds,56 - 65,Female,56 - 65_Female,9
3546,2016030116773,Slight,2016-10-09,Sunday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,30,05:28:00,Rural,Fine no high winds,Over 75,Male,Over 75_Male,9
3548,2016030117353,Slight,2016-10-10,Monday,Daylight,1,0,0,Cumbria,Dry,Single carriageway,None,30,11:00:00,Rural,Fine no high winds,Over 75,Male,Over 75_Male,9
3554,2016030120183,Fatal,2016-10-22,Saturday,Daylight,2,0,8,Cumbria,Dry,Single carriageway,None,40,19:20:00,Rural,Fine no high winds,46 - 55,Male,46 - 55_Male,9
